Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guatemala,GTM,DeathBel5,SH.DTH.MORT,,,42743.0,42551.0,42372.0,42207.0,42065.0,41926.0,41810.0,41672.0,41516.0,41329.0,41103.0,40860.0,40574.0,40243.0,45902.0,39357.0,38876.0,38313.0,37672.0,36929.0,43103.0,35038.0,34083.0,33040.0,31982.0,30972.0,30018.0,29130.0,28323.0,27558.0,26830.0,26123.0,25412.0,24696.0,23989.0,23279.0,22579.0,21901.0,21218.0,20519.0,19799.0,19060.0,18304.0,17537.0,16769.0,16024.0,15323.0,14657.0,14055.0,13514.0,13007.0,12535.0,12098.0,11705.0,11351.0,11021.0,10682.0,10357.0,10041.0
Guyana,GUY,DeathBel5,SH.DTH.MORT,2195.0,2131.0,2071.0,2017.0,1975.0,1938.0,1909.0,1889.0,1874.0,1864.0,1858.0,1851.0,1842.0,1828.0,1807.0,1784.0,1756.0,1730.0,1706.0,1685.0,1669.0,1652.0,1631.0,1606.0,1573.0,1532.0,1486.0,1436.0,1385.0,1337.0,1292.0,1251.0,1213.0,1177.0,1141.0,1106.0,1070.0,1032.0,993.0,951.0,909.0,866.0,825.0,785.0,748.0,714.0,683.0,656.0,633.0,613.0,597.0,582.0,568.0,554.0,539.0,522.0,505.0,488.0,471.0,454.0,436.0
Honduras,HND,DeathBel5,SH.DTH.MORT,,20020.0,19805.0,19607.0,19412.0,19239.0,19056.0,18867.0,18656.0,18416.0,18150.0,17863.0,17566.0,17258.0,20351.0,16582.0,16282.0,15950.0,15599.0,15239.0,14854.0,14451.0,14033.0,13606.0,13181.0,12747.0,12334.0,11933.0,11548.0,11182.0,10840.0,10532.0,10255.0,10001.0,9768.0,9543.0,9310.0,9057.0,13777.0,8456.0,8139.0,7792.0,7430.0,7068.0,6708.0,6367.0,6040.0,5729.0,5426.0,5139.0,4874.0,4637.0,4429.0,4244.0,4079.0,3928.0,3810.0,3697.0,3581.0,3472.0,3368.0
"Korea, Rep.",KOR,DeathBel5,SH.DTH.MORT,115768.0,111024.0,105998.0,100552.0,94658.0,88475.0,82081.0,75721.0,69664.0,64001.0,58917.0,54448.0,50607.0,47220.0,44209.0,41477.0,38916.0,36507.0,34225.0,31989.0,29759.0,27489.0,25135.0,22693.0,20242.0,17859.0,15700.0,13850.0,12356.0,11193.0,10302.0,9592.0,8981.0,8397.0,7818.0,7220.0,6611.0,6012.0,5447.0,4929.0,4461.0,4039.0,3657.0,3308.0,2986.0,2694.0,2445.0,2246.0,2090.0,1972.0,1881.0,1804.0,1730.0,1654.0,1575.0,1494.0,1412.0,1331.0,1254.0,1180.0,1112.0
Mexico,MEX,DeathBel5,SH.DTH.MORT,253537.0,249364.0,245841.0,243028.0,240741.0,238681.0,236888.0,235235.0,233272.0,231017.0,228098.0,224472.0,220301.0,215413.0,209966.0,203796.0,197208.0,190122.0,182786.0,175246.0,167722.0,160438.0,153462.0,146945.0,140834.0,135186.0,129751.0,124508.0,119347.0,114229.0,109134.0,104165.0,99284.0,94543.0,90009.0,85661.0,81487.0,77532.0,73789.0,70219.0,66873.0,63705.0,60762.0,57980.0,55410.0,53034.0,50831.0,48819.0,47006.0,45349.0,43803.0,42317.0,40891.0,39492.0,38098.0,36715.0,35358.0,33972.0,32617.0,31317.0,30081.0
Nicaragua,NIC,DeathBel5,SH.DTH.MORT,17487.0,17577.0,17639.0,17702.0,17748.0,17803.0,17855.0,17923.0,18004.0,18106.0,18187.0,18259.0,20998.0,18176.0,18030.0,17761.0,17385.0,16919.0,16391.0,15813.0,15213.0,14605.0,14005.0,13423.0,12866.0,12352.0,11860.0,11390.0,10928.0,10460.0,9975.0,9478.0,8970.0,8457.0,7938.0,7431.0,6941.0,6476.0,7047.0,5648.0,5298.0,4984.0,4706.0,4459.0,4241.0,4046.0,3866.0,3702.0,3548.0,3403.0,3267.0,3136.0,3006.0,2882.0,2759.0,2641.0,2527.0,2416.0,2311.0,2208.0,2113.0
Panama,PAN,DeathBel5,SH.DTH.MORT,4145.0,4128.0,4101.0,4069.0,4037.0,4000.0,3956.0,3908.0,3852.0,3778.0,3686.0,3577.0,3459.0,3333.0,3208.0,3093.0,2991.0,2898.0,2815.0,2737.0,2659.0,2582.0,2504.0,2429.0,2355.0,2286.0,2221.0,2163.0,2109.0,2059.0,2015.0,1977.0,1947.0,1926.0,1911.0,1901.0,1894.0,1887.0,1875.0,1856.0,1832.0,1800.0,1766.0,1733.0,1700.0,1668.0,1638.0,1607.0,1575.0,1544.0,1512.0,1480.0,1449.0,1409.0,1373.0,1336.0,1294.0,1255.0,1216.0,1174.0,1137.0
Peru,PER,DeathBel5,SH.DTH.MORT,103563.0,103040.0,102168.0,101068.0,99673.0,98160.0,96556.0,95038.0,93626.0,92289.0,107819.0,89298.0,88024.0,86582.0,85062.0,83600.0,82241.0,81101.0,80149.0,79244.0,78218.0,76997.0,75453.0,73508.0,71128.0,68348.0,65392.0,62374.0,59400.0,56566.0,53748.0,50800.0,47660.0,44376.0,41008.0,37651.0,34382.0,31286.0,28428.0,25852.0,23581.0,21625.0,19977.0,18562.0,17355.0,16288.0,15326.0,14420.0,13555.0,12724.0,11939.0,11211.0,10532.0,9933.0,9417.0,8962.0,8567.0,8218.0,7896.0,7615.0,7351.0
Paraguay,PRY,DeathBel5,SH.DTH.MORT,,6465.0,6549.0,6635.0,6732.0,6827.0,6914.0,6980.0,7025.0,7046.0,7052.0,7043.0,7029.0,7027.0,7036.0,7060.0,7104.0,7161.0,7216.0,7263.0,7297.0,7304.0,7279.0,7233.0,7163.0,7070.0,6955.0,6821.0,6671.0,6508.0,6338.0,6167.0,5996.0,5839.0,5689.0,5551.0,5417.0,5284.0,5152.0,5012.0,4865.0,4717.0,4571.0,4436.0,4312.0,4190.0,4091.0,3984.0,3876.0,3772.0,3667.0,3556.0,3445.0,3341.0,3242.0,3150.0,3062.0,2968.0,2874.0,2778.0,2699.0
El Salvador,SLV,DeathBel5,SH.DTH.MORT,23130.0,23245.0,23312.0,23356.0,23355.0,23333.0,23268.0,23196.0,23105.0,22987.0,22856.0,22714.0,22510.0,22259.0,21943.0,21531.0,20994.0,20375.0,19640.0,18827.0,21318.0,16959.0,16018.0,15065.0,14126.0,13239.0,12415.0,11669.0,10998.0,10386.0,9826.0,9294.0,8795.0,8298.0,7809.0,7314.0,6817.0,6324.0,5843.0,5385.0,4958.0,4554.0,4188.0,3856.0,3559.0,3293.0,3062.0,2859.0,2680.0,2519.0,2370.0,2237.0,2115.0,2009.0,1917.0,1836.0,1760.0,1688.0,1622.0,1557.0,1495.0
