Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Korea, Rep.",KOR,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,868.135006728366,828.947368421053,909.586303027115,555.628812619385,448.639278904489,434.148768129321,277.202849002849,113.084377215788,104.310048780488,104.221810775782,110.186037944373,112.15619047619,124.830008244023,124.892242013838,112.329396495782,85.7569657379016,80.214667102539,76.3881238487852,66.7551885704784,67.916948579161,77.6751540870971,57.7922077922078,69.1462709577953,67.8141886003138,71.0899668677258,75.0195499174559,81.9202898550725,77.9140585349349,91.4316163410302,84.9239658531351,98.1693121693122,92.2112716486461,91.9105153860676,86.0215053763441,94.3187861271676,84.7861007462687,87.5551632833186,91.6490486257928,83.841161442368,83.1987467141074,80.6941741887826,82.3753023960457,105.906301367078,105.865331378239,106.524344804524,102.187359357949,118.899087236188,96.475248922338,125.224901576367,106.90497469321,118.01678896694,258.386822870799,155.269768210834,209.77576754163,242.452455652401,192.033539443181,161.165095904627,167.90374744951,,
Mexico,MEX,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,184.510756687307,154.828897338403,163.157894736842,153.390574846028,167.207337773851,160.040322580645,118.820912983974,119.530336152179,101.19657070883,92.7113164768662,97.9677414213538,97.0033649836036,99.762271958833,105.764593470024,124.286961414754,130.920824281068,119.532987854505,130.016809549872,130.609838798629,131.624679554316,140.170882609125,126.907820130768,113.332382413267,116.106013059742,112.184419713831,120.617656931856,110.54553119977,103.028597558831,89.4366197183099,103.225806451613,83.4011433280115,93.4860580816846,100.492393156998,100.414356224484,74.0356937248129,85.1670656812741,93.7503563893482,108.067800670819,121.294905067614,161.012480224996,200.019086425048,389.080272073856,514.805395518081,405.438622858056,411.965056140633,529.385080976045,433.620958647309,266.113820581953,234.557701435468,177.874693902652,163.980262030457,221.951414575326,206.962253856358,153.917442091675,190.626817558518,239.417443350317,292.192008449159,504.263656471769,,
Nicaragua,NIC,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,PER,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,123.68257317535,143.148145805129,136.111111111111,125.472537750223,134.456577104291,159.701492537313,250.159744408946,175.445595854922,204.535084860488,321.75572519084,286.250261999581,460.470125845584,405.178356380549,548.411503570739,280.417964972601,218.764212741404,190.440291155867,181.878560400362,165.818366799022,151.914198634277,146.28402012059,122.942605907258,235.956307173808,129.6733706336,101.167059706292,198.412698412698,331.203667995029,260.62010308087,378.849841847027,282.346629469675,329.036186499652,592.441176470588,1134.07195421096,1115.14919663351,907.100591715976,1235.33333333333,1535.0,3968.75,6454.72972972973,7640.32451923077,11382.0484980094,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,1735.2,867.8,664.4375,910.42,766.666666666667,568.421052631579,649.87,878.260869565217,1657.89473684211,998.181818181818,1146.51162790698,1219.48051948052,1227.28473639966,623.698362980911,392.642140468227,439.411764705882,,,,,,,,2172.76785714286,1240.01275510204,1395.34717251253,663.143895735438,833.813878429263,453.944898577051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,SUR,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,567.5,655.0,695.555555555556,815.7,491.885714285714,149.264540216936,137.25791371711,155.964562873429,296.167178369813,256.699273751297,203.225806451613,215.603305785124,147.891237281315,108.814102564103,137.295794230101,425.287356321839,264.435146443515,284.439213378451,222.459270752521,268.770764119601,314.851485148515,355.882352941176,670.0,530.0,430.0,260.450051142175,208.965517241379,445.154838709677,821.430232558139,599.033333333333,463.664705882353,477.647058823529,535.294117647059,630.0,1320.0,1650.5376344086,1389.24731182796,1397.84946236559,1110.38947368421,694.146666666667,968.05,702.316666666667,856.563059033989,1128.74468617154,747.370029412888,927.156192773237,1611.25978090767,2206.71296296296,2290.74444444444,1496.85858585859,2813.59090909091,1539.215,2530.93143478261,2740.48615853659,1644.55096774194,1671.71573529412,2258.38203947368,2734.60105263158,,
Argentina,ARG,FertilizerCons_kgHec,AG.CON.FERT.ZS,,0.873312899930096,0.662721584984359,1.07551020408163,1.475,1.97937539709692,2.43280266567938,3.06432120316906,2.83702989392478,3.07193883461405,3.34753846153846,2.96538461538462,3.31538461538462,3.20165384615385,2.88846153846154,2.31923076923077,3.00880769230769,2.85788461538462,4.11826923076923,5.00315384615385,4.44492307692308,3.71057692307692,3.95185185185185,4.38888888888889,5.87037037037037,6.02222222222222,5.59792592592593,6.26492537313433,6.16300678878902,5.78390630902909,6.22765757290687,6.27061469265367,9.26638043681165,10.9297136481964,17.1123786947181,19.3580520199225,31.4273114802293,29.6339677891654,28.2771194165907,29.9106494261223,31.2222503617945,31.0672168961292,30.2339386978681,41.8467062945596,45.3091145410236,36.4023102059427,41.4112583921501,49.2567178107759,35.214968378662,22.9847777907384,39.1808009267792,41.7174131662412,34.5264375911858,35.9713594800877,35.1952632653061,27.276749744898,41.2880612244898,42.3075316326531,48.2367362244898,,
